Model,Silhouette_Score,Calinski_Harabasz,Davies_Bouldin,N_Clusters_Found,Stability_Score,Interpretability,Scalability,Overall_Score
K-Means,0.25342863581712494,57.88981518769014,2.899622135425103,2,0.26662050713456725,0.9,0.8,0.30888665024982476
Hierarchical,0.253354823503552,55.453144551506654,3.1155256942472898,2,0.8,0.8,0.6,0.3656935408746006
DBSCAN,0.11019111379549042,8.74975435701902,2.0691593881731865,10,0.8,0.6,0.7,0.31497170780630174
